iter	MultiClass
0	1.053635802
1	1.01534299
2	0.9883141051
3	0.964836984
4	0.9436241321
5	0.9255017424
6	0.9098339068
7	0.897386174
8	0.8869187402
9	0.8786714957
10	0.8697606638
11	0.8626700476
12	0.8570998323
13	0.8513164648
14	0.8474545828
15	0.8443033985
16	0.8406253048
17	0.837624242
18	0.8347268055
19	0.833606027
20	0.8318290245
21	0.8303258201
22	0.8282850769
23	0.8271681121
24	0.8257424319
25	0.8249097664
26	0.8238130611
27	0.823026865
28	0.822466906
29	0.8216438163
30	0.8208738792
31	0.8205346389
32	0.8203296952
33	0.8201397536
34	0.820013726
35	0.8195680709
36	0.8192478766
37	0.8188847423
38	0.8187970096
39	0.8184718662
40	0.8180739779
41	0.8179855183
42	0.81758729
43	0.8174142104
44	0.8173163226
45	0.8171347691
46	0.8170679006
47	0.8170118485
48	0.8167796221
49	0.816720813
50	0.8166063119
51	0.8164317914
52	0.8162495142
53	0.816223026
54	0.8161243958
55	0.8160697365
56	0.8159345328
57	0.815905122
58	0.8158987304
59	0.8158931947
60	0.8158885621
61	0.8158579157
62	0.8157389178
63	0.8157251292
64	0.8156600376
65	0.815633562
66	0.8156042302
67	0.8156040589
68	0.8155735514
69	0.8155694441
70	0.8154847429
71	0.8154814194
72	0.8154800829
73	0.8154457947
74	0.8154258904
75	0.8154094676
76	0.8154003806
77	0.8153146773
78	0.8153115887
79	0.815307439
80	0.8153025394
81	0.8153005658
82	0.8152786875
83	0.8152303494
84	0.8152262184
85	0.8152258181
86	0.8152258107
87	0.8152166481
88	0.8152162299
89	0.815170807
90	0.8151670737
91	0.8151149228
92	0.8151144073
93	0.8151136249
94	0.8151132092
95	0.8150673991
96	0.8150668608
97	0.8150664206
98	0.8150150667
99	0.814960464
