iter	Passed	Remaining
0	117	11679
1	218	10695
2	313	10138
3	470	11294
4	592	11252
5	721	11298
6	869	11556
7	986	11342
8	1080	10920
9	1246	11218
10	1567	12680
11	1817	13328
12	2006	13425
13	2156	13244
14	2301	13042
15	2418	12697
16	2551	12459
17	2672	12175
18	2825	12045
19	2936	11744
20	3045	11458
21	3160	11203
22	3287	11005
23	3391	10739
24	3512	10536
25	3614	10286
26	3751	10141
27	3904	10041
28	4015	9829
29	4143	9667
30	4424	9848
31	4578	9729
32	4698	9538
33	4863	9440
34	4982	9252
35	5100	9066
36	5200	8854
37	5302	8652
38	5396	8440
39	5493	8240
40	5592	8047
41	5672	7832
42	5826	7723
43	5928	7545
44	6041	7383
45	6159	7230
46	6238	7035
47	6313	6839
48	6426	6689
49	6505	6505
50	6588	6329
51	6741	6222
52	6863	6086
53	6940	5911
54	7044	5763
55	7163	5628
56	7316	5519
57	7427	5378
58	7546	5244
59	7639	5092
60	7758	4960
61	7853	4813
62	7947	4667
63	8029	4516
64	8124	4374
65	8221	4235
66	8313	4094
67	8389	3948
68	8492	3815
69	8577	3675
70	8698	3552
71	8821	3430
72	8900	3292
73	9002	3163
74	9091	3030
75	9183	2900
76	9277	2771
77	9376	2644
78	9462	2515
79	9559	2389
80	9692	2273
81	9832	2158
82	9962	2040
83	10095	1922
84	10208	1801
85	10319	1679
86	10416	1556
87	10545	1438
88	10673	1319
89	10836	1204
90	10937	1081
91	11041	960
92	11128	837
93	11202	715
94	11292	594
95	11393	474
96	11477	354
97	11559	235
98	11700	118
99	11816	0
